,features
1972,音响
1973,顶点
1974,预算
1975,领导
1976,领袖
1977,颜色
1978,飞机
1979,飞舞
1980,马上开
1981,驯龙团
1982,骂人
1983,骑士团
1984,骗人
1985,骗子
1986,骗球
1987,骗过
1988,高中
1989,高冷
1990,高手
1991,魅力
1992,魅力值
1993,魔法
1994,魔王
1995,麻烦
1996,黑名单
1997,黑洞
1998,默契
1999,龙团
